vx_kms,vy_kms,vz_kms,psd_s3_m6,status,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV
-200.0,-200.0,-200.0,0.0,4,-8858.34837163001,-8838.685423892173,-19.662947321734123,-8858.372138425004,0.02376679499320744
-190.0,-200.0,-200.0,0.0,4,-8945.19302126654,-8925.37126882492,-19.821745305423054,-8945.333643891361,0.1406226248218445
-180.0,-200.0,-200.0,0.0,4,-9031.46014223805,-9011.494310461112,-19.965821122331324,-9031.525789472009,0.0656472339596803
-170.0,-200.0,-200.0,0.0,4,-9116.085958547712,-9095.910521574255,-20.175409412621683,-9116.047108426743,-0.03885012096907303
-160.0,-200.0,-200.0,0.0,4,-9200.134833507429,-9179.842088363923,-20.292714796944672,-9200.136245813868,0.0014123064393061213
-150.0,-200.0,-200.0,0.0,4,-9282.274897345485,-9261.796178035987,-20.47869933393277,-9282.352979986754,0.0780826412683382
-140.0,-200.0,-200.0,0.0,4,-9364.418388952532,-9343.790408904504,-20.62796070404167,-9364.504559173869,0.08617022133694263
-130.0,-200.0,-200.0,0.0,4,-9443.755004136965,-9423.020492608235,-20.734495170725182,-9443.80742740765,0.05242327068481245
-120.0,-200.0,-200.0,0.0,4,-9521.10042317258,-9500.168823216136,-20.931603899233124,-9521.16593245315,0.06550928057004057
-110.0,-200.0,-200.0,0.0,4,-9597.572513056863,-9576.613637989934,-20.95886470193499,-9597.589466036985,0.0169529801223689
-100.0,-200.0,-200.0,0.0,4,-9670.933552459988,-9649.942268458297,-20.99125918677039,-9670.992410818822,0.05885835883418622
-90.0,-200.0,-200.0,0.0,4,-9743.346580550038,-9722.257808824594,-21.088785528688963,-9743.397728924341,0.051148374303011224
-80.0,-200.0,-200.0,0.0,4,-9813.331706294397,-9792.090280111053,-21.24144453135302,-9813.380958767293,0.04925247289611434
-70.0,-200.0,-200.0,0.0,4,-9880.226210646504,-9859.044068317357,-21.182108291666637,-9880.246486585611,0.020275939106795704
-60.0,-200.0,-200.0,0.0,4,-9943.75719977742,-9922.584947688672,-21.172244507314915,-9943.79621311726,0.03901333984140365
-50.0,-200.0,-200.0,0.0,4,-10005.364707302513,-9984.124516776224,-21.24017447480493,-10005.390853330331,0.026146027817958384
-40.0,-200.0,-200.0,0.0,4,-10061.511202785454,-10040.159388038002,-21.35184421948816,-10061.557165956623,0.04596317116920545
-30.0,-200.0,-200.0,0.0,4,-10116.563231179229,-10095.014471887938,-21.5487824533956,-10116.589243994176,0.026012814947534935
-20.0,-200.0,-200.0,0.0,4,-10169.840658710547,-10148.234698768243,-21.60593880090603,-10169.871047039305,0.03038832875790831
-10.0,-200.0,-200.0,0.0,4,-10216.983748008015,-10195.127481506606,-21.856262965436667,-10217.018142258974,0.034394250958939665
0.0,-200.0,-200.0,0.0,4,-10262.43051003054,-10240.450997364036,-21.979491960998136,-10262.4512021408,0.020692110261734342
10.0,-200.0,-200.0,0.0,4,-10305.183206026015,-10283.25746911852,-21.92572635745513,-10305.159905126084,-0.023300899931200547
20.0,-200.0,-200.0,0.0,4,-10343.160028169246,-10320.9646217443,-22.19543371463553,-10343.17696932017,0.016941150923230452
30.0,-200.0,-200.0,0.0,4,-10377.727851709687,-10355.459790230696,-22.26808817647553,-10377.810295211953,0.08244350226595998
40.0,-200.0,-200.0,0.0,4,-10409.44268937335,-10387.26368041875,-22.179010873912247,-10409.591161809869,0.14847243651820463
50.0,-200.0,-200.0,0.0,4,-10437.513416198168,-10415.015955930832,-22.497421114650564,-10437.645929931386,0.1325137332187296
60.0,-200.0,-200.0,0.0,4,-10462.483252231403,-10439.882823609274,-22.60043123139822,-10462.505245132086,0.021992900683471817
70.0,-200.0,-200.0,0.0,4,-10484.90183280341,-10462.40539829994,-22.49639696520697,-10484.923890468295,0.022057664884414407
80.0,-200.0,-200.0,0.0,4,-10505.552106239997,-10482.72096365787,-22.831170725246583,-10505.62222295953,0.07011671953296172
90.0,-200.0,-200.0,0.0,4,-10521.043952637592,-10498.183479108071,-22.860489483896217,-10521.110285904644,0.06633326705195941
100.0,-200.0,-200.0,0.0,4,-10531.417636085704,-10508.711559106296,-22.706098282235352,-10531.384527314935,-0.03310877076910401
110.0,-200.0,-200.0,0.0,4,-10542.90137518824,-10520.0413842383,-22.860002489510006,-10542.962120534801,0.060745346561816405
120.0,-200.0,-200.0,0.0,4,-10545.463142481773,-10522.607392921213,-22.85578148774755,-10545.516511388916,0.05336890714352194
130.0,-200.0,-200.0,0.0,4,-10543.176822837993,-10520.05590583516,-23.120924739712123,-10543.226170388732,0.04934755073918495
140.0,-200.0,-200.0,0.0,4,-10546.822941609355,-10523.384243571494,-23.438725685231677,-10546.852516649651,0.02957504029654956
150.0,-200.0,-200.0,0.0,4,-10547.117709335578,-10522.99841681294,-24.1193091563486,-10547.219625117532,0.10191578195372131
160.0,-200.0,-200.0,0.0,4,-10546.933933104754,-10522.31394042239,-24.620011843528083,-10546.922654468925,-0.011278635829512496
170.0,-200.0,-200.0,0.0,4,-10537.82776028517,-10513.180561029722,-24.64719438783067,-10537.885155590167,0.05739530499704415
180.0,-200.0,-200.0,0.0,4,-10530.990677297068,-10506.192334297672,-24.79834629437273,-10531.03221950222,0.04154220515192719
190.0,-200.0,-200.0,0.0,4,-10517.382334969558,-10492.020759225756,-25.36158807299407,-10517.499124976814,0.11679000725598598
200.0,-200.0,-200.0,0.0,4,-10502.78360980501,-10476.741199276397,-26.04241290584966,-10502.912466454385,0.12885664937493857
-200.0,-180.0,-200.0,0.0,4,-8960.556936995968,-8940.506254082242,-20.05066734211181,-8960.573714762808,0.01677776683936827
-190.0,-180.0,-200.0,0.0,4,-9050.862364965244,-9030.671292385798,-20.191047251154885,-9050.873998550862,0.011633585618255893
-180.0,-180.0,-200.0,0.0,4,-9139.370197205346,-9119.070879172705,-20.299304352179117,-9139.40878300719,0.038585801843510126
-170.0,-180.0,-200.0,0.0,4,-9227.698819471947,-9207.263838753439,-20.434976081918034,-9227.767323242228,0.06850377028058574
-160.0,-180.0,-200.0,0.0,4,-9314.254744906113,-9293.715248382561,-20.539496117202255,-9314.267627571484,0.01288266537085292
-150.0,-180.0,-200.0,0.0,4,-9399.636795173195,-9378.921528501907,-20.715265401773514,-9399.680809967727,0.044014794531904045
-140.0,-180.0,-200.0,0.0,4,-9483.527852103047,-9462.732071507075,-20.795770615435153,-9483.555427026644,0.027574923597057932
-130.0,-180.0,-200.0,0.0,4,-9565.557776358626,-9544.615903423102,-20.941852912180128,-9565.569537522055,0.011761163428673171
-120.0,-180.0,-200.0,0.0,4,-9647.13218963446,-9626.026424542302,-21.105737247831904,-9647.131439267132,-0.0007503673277824419
-110.0,-180.0,-200.0,0.0,4,-9725.953277787235,-9704.742181662388,-21.21107652645458,-9726.029253761639,0.07597597440326354
-100.0,-180.0,-200.0,0.0,4,-9801.333802529876,-9780.01542453451,-21.318369667568984,-9801.40394999207,0.07014746219283552
-90.0,-180.0,-200.0,0.0,4,-9875.999895415234,-9854.480357827184,-21.519518513572052,-9876.082210304656,0.08231488942146825
-80.0,-180.0,-200.0,0.0,4,-9948.80025043355,-9927.165816418606,-21.634448221139706,-9948.87209446782,0.07184403426981589
-70.0,-180.0,-200.0,0.0,4,-10018.227375785053,-9996.448502519976,-21.77889167884696,-10018.276399714345,0.04902392929216148
-60.0,-180.0,-200.0,0.0,4,-10082.770681846514,-10060.968653515538,-21.802024594621326,-10082.806252380737,0.03557053422264289
-50.0,-180.0,-200.0,0.0,4,-10144.425450920457,-10122.557108704923,-21.868346099749814,-10144.456004745025,0.03055382456841471
-40.0,-180.0,-200.0,0.0,4,-10204.069881465068,-10182.101915382216,-21.967971088522116,-10204.110884676094,0.04100321102669113
-30.0,-180.0,-200.0,0.0,4,-10257.895222694446,-10235.885553250248,-22.009701404241586,-10257.958182809341,0.06296011489575903
-20.0,-180.0,-200.0,0.0,4,-10309.60418116539,-10287.552320503883,-22.051865882252628,-10309.650778762254,0.046597596863648505
-10.0,-180.0,-200.0,0.0,4,-10359.803365173773,-10337.711943831524,-22.091418543768114,-10359.84785065988,0.04448548610707803
0.0,-180.0,-200.0,0.0,4,-10403.224916096415,-10381.149786938144,-22.075135476886008,-10403.268857920208,0.04394182379292033
10.0,-180.0,-200.0,0.0,4,-10444.749109634153,-10422.637406188522,-22.111704923563373,-10444.787985233143,0.038875598989761784
20.0,-180.0,-200.0,0.0,4,-10485.783560736663,-10463.508366140533,-22.275208796533462,-10485.823152123216,0.039591386552274344
30.0,-180.0,-200.0,0.0,4,-10519.40811380887,-10497.050734302959,-22.357404774079903,-10519.444459606008,0.03634579713798303
40.0,-180.0,-200.0,0.0,4,-10549.945999453985,-10527.543118086687,-22.402869290640137,-10549.991571045908,0.045571591923362575
50.0,-180.0,-200.0,0.0,4,-10578.182803332948,-10555.442331829669,-22.74046321900922,-10578.217148135274,0.034344802326813806
60.0,-180.0,-200.0,0.0,4,-10601.701846794986,-10578.860378493944,-22.841460228249783,-10601.779500925464,0.07765413047854963
70.0,-180.0,-200.0,0.0,4,-10624.043407810408,-10601.352372629322,-22.691025414450255,-10624.100179916715,0.056772106307107606
80.0,-180.0,-200.0,0.0,4,-10641.154447006453,-10618.239967652227,-22.914499434273225,-10641.164956860313,0.01050985386063985
90.0,-180.0,-200.0,0.0,4,-10654.32131536082,-10631.231169590448,-23.090196500367203,-10654.354866023985,0.03355066316544253
100.0,-180.0,-200.0,0.0,4,-10667.955385123743,-10644.882533700253,-23.07286167553042,-10668.043680921079,0.08829579733537685
110.0,-180.0,-200.0,0.0,4,-10676.343012554738,-10652.900374028788,-23.442695780930066,-10676.39139881262,0.048386257882157224
120.0,-180.0,-200.0,0.0,4,-10682.3372896981,-10658.50357898938,-23.833739816565128,-10682.379885787761,0.042596089660946745
130.0,-180.0,-200.0,0.0,4,-10686.956526183214,-10663.092756954951,-23.863810210066834,-10687.010643104708,0.05411692149391456
140.0,-180.0,-200.0,0.0,4,-10686.332632356773,-10662.175016836094,-24.15764370342755,-10686.371733750833,0.03910139406070812
150.0,-180.0,-200.0,0.0,4,-10678.900323283831,-10654.515654541548,-24.384678825962077,-10678.959399199952,0.059075916120491456
160.0,-180.0,-200.0,0.0,4,-10665.785861037768,-10641.185853869636,-24.60000819445461,-10665.822860812177,0.03699977440919611
170.0,-180.0,-200.0,0.0,4,-10660.35767830078,-10634.964821438522,-25.392886226188892,-10660.435005202888,0.07732690210832516
180.0,-180.0,-200.0,0.0,4,-10655.23223657396,-10628.903900321908,-26.32836631092927,-10655.254030690341,0.02179411638098827
190.0,-180.0,-200.0,0.0,4,-10647.9440103093,-10620.979126809692,-26.964922789482667,-10647.966635619208,0.022625309908107738
200.0,-180.0,-200.0,0.0,4,-10629.544147244656,-10602.533528895947,-27.010598069815774,-10629.594881836061,0.050734591404761886
-200.0,-160.0,-200.0,0.0,4,-9056.449619240262,-9036.026510403712,-20.423104023516707,-9056.447376033715,-0.0022432065470638918
-190.0,-160.0,-200.0,0.0,4,-9149.144045328258,-9128.630417325858,-20.513618237647748,-9149.191015155464,0.04696982720633969
-180.0,-160.0,-200.0,0.0,4,-9240.613118677564,-9219.990977939111,-20.622132037299135,-9240.668290187488,0.055171509924548445
-170.0,-160.0,-200.0,0.0,4,-9331.341662722072,-9310.680720436245,-20.660926037789423,-9331.411117494836,0.06945477276349266
-160.0,-160.0,-200.0,0.0,4,-9420.884069887654,-9400.132054185247,-20.751993905175443,-9420.877593748066,-0.0064761395879031625
-150.0,-160.0,-200.0,0.0,4,-9509.340923543448,-9488.55001919195,-20.790893993698198,-9509.421652091738,0.08072854828969867
-140.0,-160.0,-200.0,0.0,4,-9595.874420841299,-9575.008352987925,-20.866052394982447,-9595.88120815954,0.006787318241549656
-130.0,-160.0,-200.0,0.0,4,-9681.08225215036,-9660.089422177458,-20.992814198641,-9681.115075475143,0.03282332478374883
-120.0,-160.0,-200.0,0.0,4,-9763.873907586347,-9742.819025442986,-21.054880114084366,-9763.966154153915,0.09224656756850891
-110.0,-160.0,-200.0,0.0,4,-9844.482806612723,-9823.29120852541,-21.191591106814656,-9844.595810913877,0.11300430115443305
-100.0,-160.0,-200.0,0.0,4,-9923.320029678163,-9901.94951175275,-21.370504802978598,-9923.443366573494,0.1233368953307945
-90.0,-160.0,-200.0,0.0,4,-9998.9463502349,-9977.40522167471,-21.541133917153264,-9999.055923821754,0.10957358685300278
-80.0,-160.0,-200.0,0.0,4,-10071.03511051337,-10049.45189850845,-21.583197050007488,-10071.13062623779,0.09551572441887402
-70.0,-160.0,-200.0,0.0,4,-10140.354445950989,-10118.72658958489,-21.627869794871813,-10140.391228705148,0.036782754159503384
-60.0,-160.0,-200.0,0.0,4,-10207.32704186917,-10185.634336656492,-21.692708228299804,-10207.376003168301,0.04896129913140612
-50.0,-160.0,-200.0,0.0,4,-10269.4279549527,-10247.7235056534,-21.704459721642493,-10269.412268319886,-0.015686632814322365
-40.0,-160.0,-200.0,0.0,4,-10329.06224483855,-10307.320146464857,-21.74209098589502,-10329.157617092827,0.09537225427811791
-30.0,-160.0,-200.0,0.0,4,-10386.69500073091,-10364.84892003766,-21.84610480745674,-10386.715651911974,0.020651181064749835
-20.0,-160.0,-200.0,0.0,4,-10438.891047293257,-10416.987788259994,-21.903270264560046,-10438.948177770913,0.05713047765675583
-10.0,-160.0,-200.0,0.0,4,-10488.868721112463,-10466.841457056578,-22.027286535231834,-10488.921419556154,0.052698443691042485
0.0,-160.0,-200.0,0.0,4,-10535.280129467696,-10512.918296432657,-22.361842305667672,-10535.334572101752,0.054442634056613315
10.0,-160.0,-200.0,0.0,4,-10576.275415671505,-10553.751490344515,-22.523932157822436,-10576.335953997259,0.06053832575344131
20.0,-160.0,-200.0,0.0,4,-10615.50888790202,-10593.056856952982,-22.452014566711313,-10615.556709007971,0.04782110595078848
30.0,-160.0,-200.0,0.0,4,-10648.958602524028,-10626.447311367423,-22.51131280276955,-10648.98021059152,0.02160806749270705
40.0,-160.0,-200.0,0.0,4,-10680.18609515132,-10657.530964700105,-22.655100718324746,-10680.25190032353,0.06580517220936599
50.0,-160.0,-200.0,0.0,4,-10709.295876070279,-10686.214861315075,-23.081027574888168,-10709.364128609015,0.06825253873648762
60.0,-160.0,-200.0,0.0,4,-10732.09036476565,-10708.881368716457,-23.209003199623737,-10732.149395380779,0.05903061512799468
70.0,-160.0,-200.0,0.0,4,-10755.930735387159,-10732.852223721586,-23.078535246430715,-10755.979524009326,0.04878862216719426
80.0,-160.0,-200.0,0.0,4,-10773.769992859894,-10750.599335563502,-23.17066445899318,-10773.827214789342,0.05722192944813287
90.0,-160.0,-200.0,0.0,4,-10787.538937576017,-10764.341835526588,-23.197149388708908,-10787.595012468364,0.056074892347169225
100.0,-160.0,-200.0,0.0,4,-10801.34055729686,-10777.93169170585,-23.40890809415888,-10801.401927076413,0.061369779552478576
110.0,-160.0,-200.0,0.0,4,-10807.429842878697,-10783.847289483214,-23.582600887735136,-10807.42854158939,-0.001301289306866238
120.0,-160.0,-200.0,0.0,4,-10809.737615086411,-10786.079839737984,-23.657805899167723,-10809.793960385752,0.056345299341046484
130.0,-160.0,-200.0,0.0,4,-10811.877212667994,-10787.746483840212,-24.130765175092748,-10811.872591198808,-0.004621469186531613
140.0,-160.0,-200.0,0.0,4,-10809.864694908001,-10785.188546828798,-24.6761543925152,-10809.955954377787,0.0912594697856548
150.0,-160.0,-200.0,0.0,4,-10807.5550331414,-10782.404316800466,-25.150727149384068,-10807.614814999042,0.05978185764251975
160.0,-160.0,-200.0,0.0,4,-10805.491456698235,-10779.755018407004,-25.736475653135543,-10805.466116074474,-0.025340623760712333
170.0,-160.0,-200.0,0.0,4,-10792.18419259503,-10766.05292982021,-26.13128075399053,-10792.271784582874,0.08759198784355249
180.0,-160.0,-200.0,0.0,4,-10771.837746956513,-10745.206412501426,-26.631363314783183,-10771.891531319678,0.05378436316459556
190.0,-160.0,-200.0,0.0,4,-10755.098412513205,-10727.832045275632,-27.26636914932064,-10755.13852618081,0.04011366760460078
200.0,-160.0,-200.0,0.0,4,-10747.942630930742,-10719.61393876685,-28.32873562610874,-10748.02374305543,0.08111212468793383
-200.0,-140.0,-200.0,0.0,4,-9143.822130506136,-9123.184881614445,-20.637263906485792,-9143.897193598068,0.07506309193195193
-190.0,-140.0,-200.0,0.0,4,-9238.623140285203,-9217.931779894592,-20.69138163588198,-9238.614852461527,-0.008287823675345862
-180.0,-140.0,-200.0,0.0,4,-9333.290349559937,-9312.58531843318,-20.705029010922523,-9333.324061234729,0.03371167479235737
-170.0,-140.0,-200.0,0.0,4,-9426.583030185551,-9405.879045766316,-20.703950866551615,-9426.65647133591,0.07344115035812138
-160.0,-140.0,-200.0,0.0,4,-9519.190980588475,-9498.531232028134,-20.659707957771364,-9519.237908780426,0.0469281919504283
-150.0,-140.0,-200.0,0.0,4,-9609.835493766337,-9589.210356742642,-20.625125560186316,-9609.94073519952,0.10524143318252754
