vx_kms,vy_kms,vz_kms,dt_s,total_eV,conv_eV,hall_eV,deltaK_eV,residual_eV,status
0.0,0.0,0.0,-0.1,-10290.859052069607,-10269.07570421868,-21.78329676406032,-10290.894824089779,0.035772020171862096,4
0.0,0.0,0.0,-0.05,-10290.880858342727,-10269.098041612082,-21.782765666876177,-10290.896925745526,0.016067402799308184,4
0.0,0.0,0.0,-0.025,-10290.899213549323,-10269.116589385467,-21.78257309227945,-10290.895610276417,-0.0036032729058206314,4
0.0,0.0,20.0,-0.1,-10093.696485115692,-10073.841671611019,-19.85481793324101,-10093.685358579973,-0.01112653571908595,4
0.0,0.0,20.0,-0.05,-10093.706030131474,-10073.850075690641,-19.855958865496522,-10093.709747342917,0.0037172114425629843,4
0.0,0.0,20.0,-0.025,-10093.706404262348,-10073.849650194798,-19.856758518477832,-10093.712546436933,0.006142174584965687,4
-100.0,0.0,100.0,-0.1,-3530.548818745662,-3519.4453245742707,-11.103495274468543,-3530.5665373212914,0.017718575629260158,4
-100.0,0.0,100.0,-0.05,-3530.589099227992,-3519.4868307199495,-11.10226966980514,-3530.584940731374,-0.004158496617947094,4
-100.0,0.0,100.0,-0.025,-3530.584561968116,-3519.48168395373,-11.102879172226118,-3530.586368903238,0.0018069351222038676,4
200.0,200.0,200.0,-0.1,2226.3593341141277,2292.344615328665,-65.98529086605005,2226.3308395158597,0.028494598268025584,4
200.0,200.0,200.0,-0.05,2226.35945930677,2292.3369962387255,-65.97754655481863,2226.3387062146794,0.020753092090672,4
200.0,200.0,200.0,-0.025,2226.3354435198967,2292.3127973340447,-65.97736343197897,2226.3353499043646,9.361553202325013e-5,4
10.0,-20.0,-20.0,-0.1,-10529.150631664499,-10506.74731867273,-22.40331978536974,-10529.14376540163,-0.006866262869152706,4
10.0,-20.0,-20.0,-0.05,-10529.173169694777,-10506.769037284399,-22.404139155965698,-10529.170527120703,-0.002642574074343429,4
10.0,-20.0,-20.0,-0.025,-10529.176336863546,-10506.771586572771,-22.404757031469885,-10529.177912794505,0.001575930959006655,4
