vx_kms,vz_kms,f_s2_m5,total_eV,conv_eV,hall_eV
-200.0,-200.0,0.0,NaN,NaN,NaN
-190.0,-200.0,0.0,NaN,NaN,NaN
-180.0,-200.0,0.0,NaN,NaN,NaN
-170.0,-200.0,0.0,NaN,NaN,NaN
-160.0,-200.0,0.0,NaN,NaN,NaN
-150.0,-200.0,0.0,NaN,NaN,NaN
-140.0,-200.0,0.0,NaN,NaN,NaN
-130.0,-200.0,0.0,NaN,NaN,NaN
-120.0,-200.0,0.0,NaN,NaN,NaN
-110.0,-200.0,0.0,NaN,NaN,NaN
-100.0,-200.0,0.0,NaN,NaN,NaN
-90.0,-200.0,0.0,NaN,NaN,NaN
-80.0,-200.0,0.0,NaN,NaN,NaN
-70.0,-200.0,0.0,NaN,NaN,NaN
-60.0,-200.0,0.0,NaN,NaN,NaN
-50.0,-200.0,0.0,NaN,NaN,NaN
-40.0,-200.0,0.0,NaN,NaN,NaN
-30.0,-200.0,0.0,NaN,NaN,NaN
-20.0,-200.0,0.0,NaN,NaN,NaN
-10.0,-200.0,0.0,NaN,NaN,NaN
0.0,-200.0,0.0,NaN,NaN,NaN
10.0,-200.0,0.0,NaN,NaN,NaN
20.0,-200.0,0.0,NaN,NaN,NaN
30.0,-200.0,0.0,NaN,NaN,NaN
40.0,-200.0,0.0,NaN,NaN,NaN
50.0,-200.0,0.0,NaN,NaN,NaN
60.0,-200.0,0.0,NaN,NaN,NaN
70.0,-200.0,0.0,NaN,NaN,NaN
80.0,-200.0,0.0,NaN,NaN,NaN
90.0,-200.0,0.0,NaN,NaN,NaN
100.0,-200.0,0.0,NaN,NaN,NaN
110.0,-200.0,0.0,NaN,NaN,NaN
120.0,-200.0,0.0,NaN,NaN,NaN
130.0,-200.0,0.0,NaN,NaN,NaN
140.0,-200.0,0.0,NaN,NaN,NaN
150.0,-200.0,0.0,NaN,NaN,NaN
160.0,-200.0,0.0,NaN,NaN,NaN
170.0,-200.0,0.0,NaN,NaN,NaN
180.0,-200.0,0.0,NaN,NaN,NaN
190.0,-200.0,0.0,NaN,NaN,NaN
200.0,-200.0,0.0,NaN,NaN,NaN
-200.0,-190.0,0.0,NaN,NaN,NaN
-190.0,-190.0,0.0,NaN,NaN,NaN
-180.0,-190.0,0.0,NaN,NaN,NaN
-170.0,-190.0,0.0,NaN,NaN,NaN
-160.0,-190.0,0.0,NaN,NaN,NaN
-150.0,-190.0,0.0,NaN,NaN,NaN
-140.0,-190.0,0.0,NaN,NaN,NaN
-130.0,-190.0,0.0,NaN,NaN,NaN
-120.0,-190.0,0.0,NaN,NaN,NaN
-110.0,-190.0,0.0,NaN,NaN,NaN
-100.0,-190.0,0.0,NaN,NaN,NaN
-90.0,-190.0,0.0,NaN,NaN,NaN
-80.0,-190.0,0.0,NaN,NaN,NaN
-70.0,-190.0,0.0,NaN,NaN,NaN
-60.0,-190.0,0.0,NaN,NaN,NaN
-50.0,-190.0,0.0,NaN,NaN,NaN
-40.0,-190.0,0.0,NaN,NaN,NaN
-30.0,-190.0,0.0,NaN,NaN,NaN
-20.0,-190.0,0.0,NaN,NaN,NaN
-10.0,-190.0,0.0,NaN,NaN,NaN
0.0,-190.0,0.0,NaN,NaN,NaN
10.0,-190.0,0.0,NaN,NaN,NaN
20.0,-190.0,0.0,NaN,NaN,NaN
30.0,-190.0,0.0,NaN,NaN,NaN
40.0,-190.0,0.0,NaN,NaN,NaN
50.0,-190.0,0.0,NaN,NaN,NaN
60.0,-190.0,0.0,NaN,NaN,NaN
70.0,-190.0,0.0,NaN,NaN,NaN
80.0,-190.0,0.0,NaN,NaN,NaN
90.0,-190.0,0.0,NaN,NaN,NaN
100.0,-190.0,0.0,NaN,NaN,NaN
110.0,-190.0,0.0,NaN,NaN,NaN
120.0,-190.0,0.0,NaN,NaN,NaN
130.0,-190.0,0.0,NaN,NaN,NaN
140.0,-190.0,0.0,NaN,NaN,NaN
150.0,-190.0,0.0,NaN,NaN,NaN
160.0,-190.0,0.0,NaN,NaN,NaN
170.0,-190.0,0.0,NaN,NaN,NaN
180.0,-190.0,0.0,NaN,NaN,NaN
190.0,-190.0,0.0,NaN,NaN,NaN
200.0,-190.0,0.0,NaN,NaN,NaN
-200.0,-180.0,0.0,NaN,NaN,NaN
-190.0,-180.0,0.0,NaN,NaN,NaN
-180.0,-180.0,0.0,NaN,NaN,NaN
-170.0,-180.0,0.0,NaN,NaN,NaN
-160.0,-180.0,0.0,NaN,NaN,NaN
-150.0,-180.0,0.0,NaN,NaN,NaN
-140.0,-180.0,0.0,NaN,NaN,NaN
-130.0,-180.0,0.0,NaN,NaN,NaN
-120.0,-180.0,0.0,NaN,NaN,NaN
-110.0,-180.0,0.0,NaN,NaN,NaN
-100.0,-180.0,0.0,NaN,NaN,NaN
-90.0,-180.0,0.0,NaN,NaN,NaN
-80.0,-180.0,0.0,NaN,NaN,NaN
-70.0,-180.0,0.0,NaN,NaN,NaN
-60.0,-180.0,0.0,NaN,NaN,NaN
-50.0,-180.0,0.0,NaN,NaN,NaN
-40.0,-180.0,0.0,NaN,NaN,NaN
-30.0,-180.0,0.0,NaN,NaN,NaN
-20.0,-180.0,0.0,NaN,NaN,NaN
-10.0,-180.0,0.0,NaN,NaN,NaN
0.0,-180.0,0.0,NaN,NaN,NaN
10.0,-180.0,0.0,NaN,NaN,NaN
20.0,-180.0,0.0,NaN,NaN,NaN
30.0,-180.0,0.0,NaN,NaN,NaN
40.0,-180.0,0.0,NaN,NaN,NaN
50.0,-180.0,0.0,NaN,NaN,NaN
60.0,-180.0,0.0,NaN,NaN,NaN
70.0,-180.0,0.0,NaN,NaN,NaN
80.0,-180.0,0.0,NaN,NaN,NaN
90.0,-180.0,0.0,NaN,NaN,NaN
100.0,-180.0,0.0,NaN,NaN,NaN
110.0,-180.0,0.0,NaN,NaN,NaN
120.0,-180.0,0.0,NaN,NaN,NaN
130.0,-180.0,0.0,NaN,NaN,NaN
140.0,-180.0,0.0,NaN,NaN,NaN
150.0,-180.0,0.0,NaN,NaN,NaN
160.0,-180.0,0.0,NaN,NaN,NaN
170.0,-180.0,0.0,NaN,NaN,NaN
180.0,-180.0,0.0,NaN,NaN,NaN
190.0,-180.0,0.0,NaN,NaN,NaN
200.0,-180.0,0.0,NaN,NaN,NaN
-200.0,-170.0,0.0,NaN,NaN,NaN
-190.0,-170.0,0.0,NaN,NaN,NaN
-180.0,-170.0,0.0,NaN,NaN,NaN
-170.0,-170.0,0.0,NaN,NaN,NaN
-160.0,-170.0,0.0,NaN,NaN,NaN
-150.0,-170.0,0.0,NaN,NaN,NaN
-140.0,-170.0,0.0,NaN,NaN,NaN
-130.0,-170.0,0.0,NaN,NaN,NaN
-120.0,-170.0,0.0,NaN,NaN,NaN
-110.0,-170.0,0.0,NaN,NaN,NaN
-100.0,-170.0,0.0,NaN,NaN,NaN
-90.0,-170.0,0.0,NaN,NaN,NaN
-80.0,-170.0,0.0,NaN,NaN,NaN
-70.0,-170.0,0.0,NaN,NaN,NaN
-60.0,-170.0,0.0,NaN,NaN,NaN
-50.0,-170.0,0.0,NaN,NaN,NaN
-40.0,-170.0,0.0,NaN,NaN,NaN
-30.0,-170.0,0.0,NaN,NaN,NaN
-20.0,-170.0,0.0,NaN,NaN,NaN
-10.0,-170.0,0.0,NaN,NaN,NaN
0.0,-170.0,0.0,NaN,NaN,NaN
10.0,-170.0,0.0,NaN,NaN,NaN
20.0,-170.0,0.0,NaN,NaN,NaN
30.0,-170.0,0.0,NaN,NaN,NaN
40.0,-170.0,0.0,NaN,NaN,NaN
50.0,-170.0,0.0,NaN,NaN,NaN
60.0,-170.0,0.0,NaN,NaN,NaN
70.0,-170.0,0.0,NaN,NaN,NaN
80.0,-170.0,0.0,NaN,NaN,NaN
90.0,-170.0,0.0,NaN,NaN,NaN
100.0,-170.0,0.0,NaN,NaN,NaN
110.0,-170.0,0.0,NaN,NaN,NaN
120.0,-170.0,0.0,NaN,NaN,NaN
130.0,-170.0,0.0,NaN,NaN,NaN
140.0,-170.0,0.0,NaN,NaN,NaN
150.0,-170.0,0.0,NaN,NaN,NaN
160.0,-170.0,0.0,NaN,NaN,NaN
170.0,-170.0,0.0,NaN,NaN,NaN
180.0,-170.0,0.0,NaN,NaN,NaN
190.0,-170.0,0.0,NaN,NaN,NaN
200.0,-170.0,0.0,NaN,NaN,NaN
-200.0,-160.0,0.0,NaN,NaN,NaN
-190.0,-160.0,0.0,NaN,NaN,NaN
-180.0,-160.0,0.0,NaN,NaN,NaN
-170.0,-160.0,0.0,NaN,NaN,NaN
-160.0,-160.0,0.0,NaN,NaN,NaN
-150.0,-160.0,0.0,NaN,NaN,NaN
-140.0,-160.0,0.0,NaN,NaN,NaN
-130.0,-160.0,0.0,NaN,NaN,NaN
-120.0,-160.0,0.0,NaN,NaN,NaN
-110.0,-160.0,0.0,NaN,NaN,NaN
-100.0,-160.0,0.0,NaN,NaN,NaN
