vx_kms,vz_kms,dt_s,vy_kms,f3d
10.0,150.0,-0.1,-300.0,0.0
10.0,150.0,-0.1,-297.5,0.0
10.0,150.0,-0.1,-295.0,0.0
10.0,150.0,-0.1,-292.5,0.0
10.0,150.0,-0.1,-290.0,0.0
10.0,150.0,-0.1,-287.5,0.0
10.0,150.0,-0.1,-285.0,0.0
10.0,150.0,-0.1,-282.5,0.0
10.0,150.0,-0.1,-280.0,0.0
10.0,150.0,-0.1,-277.5,0.0
10.0,150.0,-0.1,-275.0,0.0
10.0,150.0,-0.1,-272.5,0.0
10.0,150.0,-0.1,-270.0,0.0
10.0,150.0,-0.1,-267.5,0.0
10.0,150.0,-0.1,-265.0,0.0
10.0,150.0,-0.1,-262.5,0.0
10.0,150.0,-0.1,-260.0,0.0
10.0,150.0,-0.1,-257.5,0.0
10.0,150.0,-0.1,-255.0,0.0
10.0,150.0,-0.1,-252.5,0.0
10.0,150.0,-0.1,-250.0,0.0
10.0,150.0,-0.1,-247.5,0.0
10.0,150.0,-0.1,-245.0,0.0
10.0,150.0,-0.1,-242.5,0.0
10.0,150.0,-0.1,-240.0,0.0
10.0,150.0,-0.1,-237.5,0.0
10.0,150.0,-0.1,-235.0,0.0
10.0,150.0,-0.1,-232.5,0.0
10.0,150.0,-0.1,-230.0,0.0
10.0,150.0,-0.1,-227.5,0.0
10.0,150.0,-0.1,-225.0,0.0
10.0,150.0,-0.1,-222.5,0.0
10.0,150.0,-0.1,-220.0,0.0
10.0,150.0,-0.1,-217.5,0.0
10.0,150.0,-0.1,-215.0,0.0
10.0,150.0,-0.1,-212.5,0.0
10.0,150.0,-0.1,-210.0,0.0
10.0,150.0,-0.1,-207.5,0.0
10.0,150.0,-0.1,-205.0,0.0
10.0,150.0,-0.1,-202.5,0.0
10.0,150.0,-0.1,-200.0,0.0
10.0,150.0,-0.1,-197.5,0.0
10.0,150.0,-0.1,-195.0,0.0
10.0,150.0,-0.1,-192.5,0.0
10.0,150.0,-0.1,-190.0,0.0
10.0,150.0,-0.1,-187.5,0.0
10.0,150.0,-0.1,-185.0,0.0
10.0,150.0,-0.1,-182.5,0.0
10.0,150.0,-0.1,-180.0,0.0
10.0,150.0,-0.1,-177.5,0.0
10.0,150.0,-0.1,-175.0,0.0
10.0,150.0,-0.1,-172.5,0.0
10.0,150.0,-0.1,-170.0,0.0
10.0,150.0,-0.1,-167.5,0.0
