vx_kms,vz_kms,f_total_s2_m5,f_volume_s2_m5,f_sheet_s2_m5,crossings
-200.0,-200.0,0.0,0.0,0.0,0
-190.0,-200.0,0.0,0.0,0.0,0
-180.0,-200.0,0.0,0.0,0.0,0
-170.0,-200.0,0.0,0.0,0.0,0
-160.0,-200.0,0.0,0.0,0.0,0
-150.0,-200.0,0.0,0.0,0.0,0
-140.0,-200.0,0.0,0.0,0.0,0
-130.0,-200.0,0.0,0.0,0.0,0
-120.0,-200.0,0.0,0.0,0.0,0
-110.0,-200.0,0.0,0.0,0.0,0
-100.0,-200.0,0.0,0.0,0.0,0
-90.0,-200.0,0.0,0.0,0.0,0
-80.0,-200.0,0.0,0.0,0.0,0
-70.0,-200.0,0.0,0.0,0.0,0
-60.0,-200.0,0.0,0.0,0.0,0
-50.0,-200.0,0.0,0.0,0.0,0
-40.0,-200.0,0.0,0.0,0.0,0
-30.0,-200.0,0.0,0.0,0.0,0
-20.0,-200.0,0.0,0.0,0.0,0
-10.0,-200.0,0.0,0.0,0.0,0
0.0,-200.0,0.0,0.0,0.0,0
10.0,-200.0,0.0,0.0,0.0,0
20.0,-200.0,0.0,0.0,0.0,0
30.0,-200.0,0.0,0.0,0.0,0
40.0,-200.0,0.0,0.0,0.0,0
50.0,-200.0,0.0,0.0,0.0,0
60.0,-200.0,0.0,0.0,0.0,0
70.0,-200.0,0.0,0.0,0.0,0
80.0,-200.0,0.0,0.0,0.0,0
90.0,-200.0,0.0,0.0,0.0,0
100.0,-200.0,0.0,0.0,0.0,0
110.0,-200.0,0.0,0.0,0.0,0
120.0,-200.0,0.0,0.0,0.0,0
130.0,-200.0,0.0,0.0,0.0,0
140.0,-200.0,0.0,0.0,0.0,0
150.0,-200.0,0.0,0.0,0.0,0
160.0,-200.0,0.0,0.0,0.0,0
170.0,-200.0,0.0,0.0,0.0,0
180.0,-200.0,0.0,0.0,0.0,0
190.0,-200.0,0.0,0.0,0.0,0
200.0,-200.0,0.0,0.0,0.0,0
-200.0,-190.0,0.0,0.0,0.0,0
-190.0,-190.0,0.0,0.0,0.0,0
-180.0,-190.0,0.0,0.0,0.0,0
-170.0,-190.0,0.0,0.0,0.0,0
-160.0,-190.0,0.0,0.0,0.0,0
-150.0,-190.0,0.0,0.0,0.0,0
-140.0,-190.0,0.0,0.0,0.0,0
